iter	Passed	Remaining
437	1222	1569
438	1224	1565
439	1226	1560
440	1228	1556
441	1229	1552
442	1231	1548
443	1233	1544
444	1235	1540
445	1236	1536
446	1238	1532
447	1240	1528
448	1242	1524
449	1243	1520
450	1245	1516
451	1247	1512
452	1248	1508
453	1250	1504
454	1252	1500
455	1254	1496
456	1256	1492
457	1257	1488
458	1259	1484
459	1261	1480
460	1262	1476
461	1264	1472
462	1266	1468
463	1268	1464
464	1269	1461
465	1271	1457
466	1273	1453
467	1275	1449
468	1276	1445
469	1278	1441
470	1281	1438
471	1283	1435
472	1284	1431
473	1286	1427
474	1288	1423
475	1289	1419
476	1291	1416
477	1293	1412
478	1295	1408
479	1296	1405
480	1298	1401
481	1300	1397
482	1302	1393
483	1305	1391
484	1307	1388
485	1312	1387
486	1318	1388
487	1321	1386
488	1323	1383
489	1327	1381
490	1330	1379
491	1333	1376
492	1335	1373
493	1337	1369
494	1339	1366
495	1341	1362
496	1344	1360
497	1346	1357
498	1348	1354
499	1350	1350
500	1352	1347
501	1354	1343
502	1356	1340
503	1358	1336
504	1359	1332
505	1361	1329
506	1363	1325
507	1364	1321
508	1366	1318
509	1368	1314
510	1369	1310
511	1371	1307
512	1373	1303
513	1374	1299
514	1376	1296
515	1378	1292
516	1379	1288
517	1381	1285
518	1383	1281
519	1384	1278
520	1386	1274
521	1388	1271
522	1390	1267
523	1391	1264
524	1393	1260
525	1395	1257
526	1396	1253
527	1398	1250
528	1400	1246
529	1401	1243
530	1403	1239
531	1405	1236
532	1406	1232
533	1408	1229
534	1410	1225
535	1412	1222
536	1413	1218
537	1415	1215
538	1417	1212
539	1418	1208
540	1420	1205
541	1422	1202
542	1424	1198
543	1425	1195
544	1427	1191
545	1429	1188
546	1431	1185
547	1433	1182
548	1435	1178
549	1436	1175
550	1438	1172
551	1440	1169
552	1442	1166
553	1444	1162
554	1446	1159
555	1447	1156
556	1449	1152
557	1451	1149
558	1452	1146
559	1454	1142
560	1456	1139
561	1458	1136
562	1459	1133
563	1461	1129
564	1463	1126
565	1465	1123
566	1467	1120
567	1469	1117
568	1471	1114
569	1472	1111
570	1475	1108
571	1476	1104
572	1478	1101
573	1480	1098
574	1481	1095
575	1484	1092
576	1485	1089
577	1487	1086
578	1489	1082
579	1491	1079
580	1493	1077
581	1495	1074
582	1497	1071
583	1499	1068
584	1501	1065
585	1502	1061
586	1504	1058
587	1506	1055
588	1507	1052
589	1509	1049
590	1511	1045
591	1513	1042
592	1514	1039
593	1516	1036
594	1518	1033
595	1520	1030
596	1521	1027
597	1523	1023
598	1524	1020
599	1526	1017
600	1527	1014
601	1529	1011
602	1531	1008
603	1532	1004
604	1534	1001
605	1535	998
606	1537	995
607	1539	992
608	1540	989
609	1542	985
610	1543	982
611	1545	979
612	1546	976
613	1548	973
614	1549	970
615	1551	967
616	1553	964
617	1554	960
618	1556	958
619	1557	954
620	1559	951
621	1561	948
622	1562	945
623	1564	942
624	1565	939
625	1567	936
626	1568	933
627	1570	930
628	1571	927
629	1573	924
630	1575	921
631	1576	918
632	1578	914
633	1579	911
634	1581	909
635	1583	906
636	1585	903
637	1586	900
638	1588	897
639	1589	894
640	1591	891
641	1592	888
642	1594	885
643	1596	882
644	1597	879
645	1599	876
646	1600	873
647	1602	870
648	1603	867
649	1605	864
650	1606	861
651	1608	858
652	1610	855
653	1611	852
654	1612	849
655	1614	846
656	1616	843
657	1617	840
658	1619	837
659	1620	834
660	1622	831
661	1623	829
662	1625	826
663	1626	823
664	1628	820
665	1629	817
666	1631	814
667	1633	811
668	1634	808
669	1636	805
670	1637	803
671	1639	800
672	1640	797
673	1642	794
674	1644	791
675	1645	788
676	1646	785
677	1648	783
678	1650	780
679	1652	777
680	1654	774
681	1655	772
682	1657	769
683	1659	766
684	1661	763
685	1662	761
686	1664	758
687	1666	755
688	1667	752
689	1669	750
690	1671	747
691	1673	744
692	1675	742
693	1676	739
694	1678	736
695	1680	734
696	1682	731
697	1684	728
698	1686	726
699	1687	723
700	1689	720
701	1691	717
702	1692	715
703	1694	712
704	1695	709
705	1697	706
706	1698	704
707	1700	701
708	1702	698
709	1703	695
710	1704	692
711	1706	690
712	1708	687
713	1709	684
714	1711	682
715	1712	679
716	1714	676
717	1715	673
718	1717	671
719	1718	668
720	1720	665
721	1722	663
722	1724	660
723	1725	657
724	1727	655
725	1728	652
726	1730	649
727	1731	647
728	1733	644
729	1735	641
730	1737	639
731	1738	636
732	1740	633
733	1741	631
734	1743	628
735	1745	625
736	1746	623
737	1748	620
738	1749	617
739	1751	615
740	1752	612
741	1754	610
742	1756	607
743	1757	604
744	1759	602
745	1761	599
746	1762	596
747	1764	594
748	1765	591
749	1767	589
750	1768	586
751	1770	583
752	1771	581
753	1773	578
754	1774	575
755	1776	573
756	1777	570
757	1779	568
758	1780	565
759	1782	562
760	1784	560
761	1785	557
762	1787	555
763	1788	552
764	1790	549
765	1791	547
766	1793	544
767	1794	542
768	1796	539
769	1797	537
770	1799	534
771	1800	531
772	1802	529
773	1803	526
774	1805	524
775	1806	521
776	1808	518
777	1809	516
778	1811	513
779	1812	511
780	1814	508
781	1815	506
782	1817	503
783	1818	501
784	1820	498
785	1821	496
786	1823	493
787	1825	490
788	1826	488
789	1828	485
790	1829	483
791	1831	480
792	1833	478
793	1834	475
794	1836	473
795	1838	471
796	1839	468
797	1841	466
798	1842	463
799	1844	461
800	1846	458
801	1847	456
802	1849	453
803	1851	451
804	1853	448
805	1855	446
806	1857	444
807	1858	441
808	1860	439
809	1862	436
810	1864	434
811	1865	431
812	1867	429
813	1869	427
814	1871	424
815	1873	422
816	1875	419
817	1876	417
818	1878	415
819	1880	412
820	1881	410
821	1882	407
822	1884	405
823	1885	402
824	1887	400
825	1888	397
826	1890	395
827	1892	393
828	1893	390
829	1895	388
830	1896	385
831	1898	383
832	1899	380
833	1901	378
834	1902	375
835	1903	373
836	1905	371
837	1907	368
838	1908	366
839	1910	363
840	1911	361
841	1912	358
842	1914	356
843	1915	354
844	1917	351
845	1918	349
846	1920	346
847	1922	344
848	1923	342
849	1925	339
850	1926	337
851	1928	334
852	1929	332
853	1931	330
854	1932	327
855	1934	325
856	1935	323
857	1937	320
858	1938	318
859	1940	315
860	1941	313
861	1943	311
862	1944	308
863	1946	306
864	1948	304
865	1949	301
866	1951	299
867	1953	297
868	1954	294
869	1956	292
870	1958	290
871	1960	287
872	1961	285
873	1963	283
874	1965	280
875	1967	278
876	1969	276
877	1970	273
878	1972	271
879	1974	269
880	1976	266
881	1978	264
882	1979	262
883	1981	260
884	1983	257
885	1985	255
886	1986	253
887	1988	250
888	1990	248
889	1992	246
890	1993	243
891	1995	241
892	1997	239
893	1999	237
894	2000	234
895	2002	232
896	2004	230
897	2005	227
898	2008	225
899	2009	223
900	2011	221
901	2013	218
902	2014	216
903	2016	214
904	2018	211
905	2020	209
906	2022	207
907	2025	205
908	2027	202
909	2029	200
910	2031	198
911	2033	196
912	2035	193
913	2036	191
914	2038	189
915	2040	187
916	2042	184
917	2043	182
918	2045	180
919	2048	178
920	2052	176
921	2056	173
922	2060	171
923	2062	169
924	2071	167
925	2075	165
926	2078	163
927	2081	161
928	2084	159
929	2086	157
930	2088	154
931	2090	152
932	2092	150
933	2096	148
934	2098	145
935	2100	143
936	2102	141
937	2103	139
938	2105	136
939	2107	134
940	2109	132
941	2111	129
942	2112	127
943	2114	125
944	2116	123
945	2117	120
946	2119	118
947	2121	116
948	2122	114
949	2124	111
950	2125	109
951	2127	107
952	2128	104
953	2130	102
954	2131	100
955	2133	98
956	2134	95
957	2136	93
958	2137	91
959	2139	89
960	2140	86
961	2142	84
962	2143	82
963	2145	80
964	2146	77
965	2148	75
966	2149	73
967	2151	71
968	2152	68
969	2154	66
970	2156	64
971	2157	62
972	2159	59
973	2161	57
974	2163	55
975	2164	53
976	2166	50
977	2167	48
978	2169	46
979	2170	44
980	2172	42
981	2173	39
982	2175	37
983	2176	35
984	2178	33
985	2179	30
986	2181	28
987	2182	26
988	2184	24
989	2185	22
990	2187	19
991	2188	17
992	2190	15
993	2191	13
994	2193	11
995	2194	8
996	2196	6
997	2197	4
998	2199	2
999	2201	0
