iter	Logloss
0	0.6884650597
1	0.6818026029
2	0.6752406976
3	0.6716809395
4	0.6673900115
5	0.6648564265
6	0.661319987
7	0.6567776411
8	0.6529687735
9	0.6489136133
10	0.6454725999
11	0.6400234125
12	0.6366712521
13	0.6339004125
14	0.6310881786
15	0.6276700533
16	0.6252885476
17	0.6203894199
18	0.6150043977
19	0.6122839512
20	0.6096916003
21	0.6074489104
22	0.600239563
23	0.5950776711
24	0.5908722706
25	0.5881840241
26	0.5858237242
27	0.5836126474
28	0.5802411202
29	0.5772781763
30	0.5727378258
31	0.5688413962
32	0.5657543476
33	0.5603396293
34	0.5563196818
35	0.5521394387
36	0.5498340705
37	0.5465873523
38	0.5446368878
39	0.5419616699
40	0.5397545056
41	0.5355066544
42	0.5324035253
43	0.5307256063
44	0.5289924035
45	0.5272664779
46	0.5235981477
47	0.5188919067
48	0.5169240316
49	0.5139390994
50	0.5118737245
51	0.5103341518
52	0.5089592567
53	0.5071235461
54	0.5052590395
55	0.5033070882
56	0.502058841
57	0.4985683735
58	0.4968012883
59	0.4927828666
60	0.4912812062
61	0.4896037175
62	0.4848630074
63	0.4839627388
64	0.4826668373
65	0.4783813477
66	0.4771057129
67	0.474857076
68	0.4714151236
69	0.467233785
70	0.4658657759
71	0.4644767566
72	0.463234652
73	0.4609622271
74	0.4594356439
75	0.4581526927
76	0.4549577762
77	0.4528315226
78	0.4505711482
79	0.448162607
80	0.4467611851
81	0.4452898466
82	0.44417439
83	0.4432054569
84	0.4424058181
85	0.4410349528
86	0.4402304625
87	0.4393463917
88	0.4383515578
89	0.4374003484
90	0.4363454965
91	0.4340841831
92	0.4320518298
93	0.429770367
94	0.4281762539
95	0.4270846245
96	0.425488829
97	0.4240570851
98	0.4231817392
99	0.4211173816
100	0.4201735276
101	0.4184593005
102	0.4176156068
103	0.4159147214
104	0.4151641846
105	0.4139056866
106	0.4128777528
107	0.4118110461
108	0.4094156119
109	0.408649425
110	0.4079243978
111	0.4063746526
112	0.4055340498
113	0.4038535094
114	0.4018063276
115	0.4008674817
116	0.4001058725
117	0.3983574109
118	0.39697383
119	0.396076848
120	0.3952683669
121	0.3940061912
122	0.393258667
123	0.3926532452
124	0.3916432307
125	0.390820469
126	0.3901971279
127	0.3884741367
128	0.3877243433
129	0.3868718465
130	0.3855874086
131	0.384272414
132	0.3835977408
133	0.3819611378
134	0.3803205832
135	0.3786058475
136	0.377946746
137	0.3773011819
138	0.3750939785
139	0.3744763888
140	0.3723328028
141	0.3718207726
