iter	Logloss
0	0.6663977666
1	0.6387838337
2	0.6120911283
3	0.5885878131
4	0.567656314
5	0.5493314243
6	0.5335672882
7	0.5166296533
8	0.5033562859
9	0.4890025491
10	0.4768009748
11	0.4663005333
12	0.4547592212
13	0.444152214
14	0.4342733483
15	0.4262888929
16	0.4190255623
17	0.4110503608
18	0.4051063086
19	0.3982547528
20	0.3929333035
21	0.3870010886
22	0.3829209602
23	0.3783047819
24	0.3716953652
25	0.3678389781
26	0.3626075719
27	0.3576557358
28	0.3544252664
29	0.350708623
30	0.3468945228
31	0.343822687
32	0.340383742
33	0.3371931831
34	0.3349517524
35	0.3328473795
36	0.3301144948
37	0.3277400846
38	0.3238025772
39	0.3216228018
40	0.3195921908
41	0.3172566625
42	0.3149961095
43	0.3136259132
44	0.3122715884
45	0.3102371627
46	0.3076452397
47	0.3058931041
48	0.3036527339
49	0.3021332802
50	0.3003986181
51	0.2994624668
52	0.2977790914
53	0.2966729942
54	0.2952918161
55	0.2944814091
56	0.2929229558
57	0.2918637403
58	0.2906520732
59	0.2889657491
60	0.2882911098
61	0.2873711434
62	0.2863713055
63	0.2853010044
64	0.2839825404
65	0.2827241481
66	0.2819718703
67	0.2813610065
68	0.2807461656
69	0.2802124562
70	0.2791382903
71	0.2784214115
72	0.2773722438
73	0.2762393912
74	0.2758541008
75	0.2750827469
76	0.274188054
77	0.2729358382
78	0.2719793476
79	0.2709467281
80	0.2703737239
81	0.2699314673
82	0.2695824542
83	0.2690958648
84	0.2683335457
85	0.2677813747
86	0.2676038834
87	0.2669601
88	0.266609041
89	0.2658260738
90	0.2652017376
91	0.2647555088
92	0.2643751268
93	0.2636875078
94	0.263153106
95	0.2625369372
96	0.2618218896
97	0.2610382954
98	0.2606491834
99	0.2601469106
100	0.2592289067
101	0.2588095163
102	0.258447386
103	0.2580077903
104	0.2576785767
105	0.2572284691
106	0.2567269373
107	0.2563709383
108	0.2561076678
109	0.2555783806
110	0.2552757097
111	0.2547944885
112	0.2542217682
113	0.2534529203
114	0.2532882043
115	0.2531034002
116	0.2526761627
117	0.2524813639
118	0.2520291863
119	0.2518163197
120	0.2515613633
121	0.2508327212
122	0.2506744751
123	0.2501398191
124	0.2499496362
125	0.249760813
126	0.2493906972
127	0.2490773724
128	0.2487128142
129	0.2484112252
130	0.2478472817
131	0.2475029487
132	0.2471276672
133	0.2468680756
134	0.2466129817
135	0.2464071962
136	0.2462374182
137	0.2461102274
138	0.2457939502
139	0.2451697799
140	0.2447908459
141	0.2446364624
142	0.2440351619
143	0.2437433303
144	0.2433088301
145	0.2431147278
146	0.242669856
147	0.2421203196
148	0.2418479652
149	0.2415640919
150	0.2414253282
151	0.2412300993
152	0.2408565411
153	0.2407233675
154	0.2403397264
155	0.2402113807
156	0.240084448
157	0.2399656211
158	0.2394763677
159	0.2391323822
160	0.2390014193
161	0.2384576565
162	0.23827547
163	0.2381048426
164	0.2378046134
165	0.2373479027
166	0.2370999504
167	0.2369191492
168	0.2367121274
169	0.2365987339
170	0.2363816573
171	0.2363028246
172	0.2359935162
173	0.2358775611
174	0.2357315267
175	0.2356266537
176	0.2354398536
177	0.2350724674
178	0.2347471633
179	0.2341039113
180	0.2338255302
181	0.2336722627
182	0.2333837132
183	0.2333093723
184	0.2331394817
185	0.2330114841
186	0.2328731753
187	0.2326811619
188	0.2324153431
189	0.2321558047
190	0.2320106568
191	0.2318603075
192	0.2316998353
193	0.231394171
194	0.2312105381
195	0.2309153922
196	0.2306922702
197	0.2305655825
198	0.2304197639
199	0.2301494232
200	0.2299672481
201	0.2299075939
202	0.229809524
203	0.2296239786
204	0.2294903329
205	0.2292901255
206	0.2290459467
207	0.2289358653
208	0.2286339554
209	0.2284900655
210	0.2280632436
211	0.2279279978
212	0.22779122
213	0.2276135383
214	0.2275697241
215	0.2274886678
216	0.2272639544
217	0.2271473804
218	0.2268215965
219	0.2266805457
220	0.2264937808
221	0.2263285712
222	0.2260839465
223	0.2259104799
224	0.2255065708
225	0.2254062541
226	0.2252028458
227	0.2249753465
228	0.2249210572
229	0.224682109
230	0.2245445786
231	0.2243823024
232	0.2242232088
233	0.2240148501
234	0.2237858189
235	0.2236493734
236	0.2233138385
237	0.223233701
238	0.223154585
239	0.2230062661
240	0.222745627
241	0.2223400371
242	0.2218504001
243	0.2217342299
244	0.221621728
245	0.2215414652
246	0.2214518585
247	0.2213975675
248	0.2212951804
249	0.2209584911
250	0.22083542
251	0.2203912063
252	0.2201925566
253	0.2200494573
254	0.219906501
255	0.2198467712
256	0.2196995534
257	0.2196068266
258	0.2194676246
259	0.2193842626
260	0.2192409052
261	0.2191227226
262	0.2190047576
263	0.2187775223
264	0.2185238034
265	0.2183863708
266	0.2182705386
